name,date,ref,net,vat,total,file1,file2
Swallow Drinks,2024-08-07,SINV947212,1689.56,337.93,2027.49,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-07-pi-sinv-947212.pdf,
Swallow Drinks,2024-08-12,SINV947494,3960.89,792.19,4753.08,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-12-pi-sinv-947494.pdf,
Swallow Drinks,2024-08-15,SINV947768,25.34,5.07,30.41,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-15-pi-sinv-947768.pdf,
Swallow Drinks,2024-08-19,SINV947930,1843.49,368.69,2212.18,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-19-pi-sinv-947930.pdf,
Swallow Drinks,2024-08-21,SINV948089,2192.14,438.43,2630.57,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-21-pi-sinv-948089.pdf,
Swallow Drinks,2024-08-21,SINV948113,378.77,75.76,454.53,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-21-pi-sinv-948113.pdf,
Swallow Drinks,2024-08-27,SINV948504,1203.51,240.72,1444.23,https://stocktake.wwsc.cloud/2024-08/swallow-drinks-2024-08-27-pi-sinv-948504.pdf,
Fraziers Wine Merchants Ltd,2024-08-13,FWIQ7872,778.34,155.68,934.02,https://stocktake.wwsc.cloud/2024-08/fraziers-wine-merchants-ltd-2024-08-13-pi-fwiq-7872.pdf,
Fraziers Wine Merchants Ltd,2024-08-22,FWIQ8118,177.47,35.49,212.96,https://stocktake.wwsc.cloud/2024-08/fraziers-wine-merchants-ltd-2024-08-22-pi-fwiq-8118.pdf,
T.J WIDERANGE SNACKS,2024-08-16,2024-08-16,412.9,54.34,467.24,https://stocktake.wwsc.cloud/2024-08/t-j-widerange-snacks-2024-08-16-pi-2024-08-16.jpg,
First Choice Food Service,2024-08-01,821098,383.53,26.08,409.61,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-01-pi-821098.pdf,
First Choice Food Service,2024-08-08,823317,386.23,0,386.23,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-08-pi-823317.pdf,
First Choice Food Service,2024-08-10,824118,355.84,0,355.84,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-10-pi-824118.pdf,
First Choice Food Service,2024-08-12,824427,548.91,3.07,551.98,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-12-pi-824427.pdf,
First Choice Food Service,2024-08-13,824745,250.56,24.56,275.12,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-13-pi-824745.pdf,
First Choice Food Service,2024-08-14,825144,449.58,12.81,462.39,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-14-pi-825144.pdf,
First Choice Food Service,2024-08-15,825486,129.32,0,129.32,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-15-pi-825486.pdf,
First Choice Food Service,2024-08-15,825622,19.35,0,19.35,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-15-pi-825622.pdf,
First Choice Food Service,2024-08-16,825884,492,0,492,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-16-pi-825884.pdf,
First Choice Food Service,2024-08-17,826274,238.58,0,238.58,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-17-pi-826274.pdf,
First Choice Food Service,2024-08-22,827687,788.38,10.42,798.8,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-22-pi-827687.pdf,
First Choice Food Service,2024-08-23,828177,82.34,0,82.34,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-23-pi-828177.pdf,
First Choice Food Service,2024-08-24,828605,55.72,0,55.72,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-24-pi-828605.pdf,
First Choice Food Service,2024-08-26,828840,33.76,0,33.76,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-26-pi-828840.pdf,
First Choice Food Service,2024-08-27,829146,332.99,0,332.99,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-27-pi-829146.pdf,
First Choice Food Service,2024-08-29,829947,600.65,8.83,609.48,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-29-pi-829947.pdf,
First Choice Food Service,2024-08-31,830741,76.21,0,76.21,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-31-pi-830741.pdf,
First Choice Food Service,2024-08-12,824558,7.35,0,7.35,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-12-pcn-824558..pdf,
First Choice Food Service,2024-08-16,826058,8.79,0,8.79,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-16-pcn-826058..pdf,
First Choice Food Service,2024-08-22,827850,12.65,0,12.65,https://stocktake.wwsc.cloud/2024-08/first-choice-food-service-2024-08-22-pcn-827850..pdf,
Midland Foods,2024-08-01,1425984,278.66,0,278.66,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-01-pi-1425984.pdf,
Midland Foods,2024-08-02,1426021,189,0,189,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-02-pi-1426021.pdf,
Midland Foods,2024-08-08,1426394,238.86,0,238.86,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-08-pi-1426394.pdf,
Midland Foods,2024-08-09,1426510,204.52,0,204.52,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-09-pi-1426510.pdf,
Midland Foods,2024-08-14,1426761,299.09,0,299.09,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-14-pi-1426761.pdf,
Midland Foods,2024-08-16,1426887,347.55,0,347.55,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-16-pi-1426887.pdf,
Midland Foods,2024-08-22,1427306,401.65,0,401.65,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-22-pi-1427306.pdf,
Midland Foods,2024-08-23,1427442,99.5,0,99.5,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-23-pi-1427442.pdf,
Midland Foods,2024-08-23,1427383,134.88,0,134.88,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-23-pi-1427383.pdf,
Midland Foods,2024-08-29,1427841,492.89,0,492.89,https://stocktake.wwsc.cloud/2024-08/midland-foods-2024-08-29-pi-1427841.pdf,
Kingfisher Midlands,2024-08-16,142867900,52.35,0,52.35,https://stocktake.wwsc.cloud/2024-08/kingfisher-midlands-2024-08-16-pi-142867900.pdf,
